City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Nieuw Amsterdam,SR,82.42,few clouds,5.8833,-55.0833,Hotel Stardust
206,Ganderkesee,DE,62.78,overcast clouds,53.0333,8.5333,AKZENT Hotel Thiemann & Restaurant Zur Jägerklause
207,North Bend,US,75.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
208,Conde,BR,72.86,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
209,Sibolga,ID,75.33,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
210,Curumani,CO,81.41,overcast clouds,9.1999,-73.5427,Hotel Mayumir
211,La Union,PE,75.24,scattered clouds,-5.4,-80.75,Los Portales
212,Ostersund,SE,54.61,overcast clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
214,Murmashi,RU,63.01,scattered clouds,68.8154,32.8115,Airport Murmansk Hotel
215,Elizabeth City,US,83.01,light rain,36.2946,-76.2511,Hampton Inn Elizabeth City
216,Eyl,SO,76.17,scattered clouds,7.9803,49.8164,Amiin Hotel
217,Maues,BR,78.64,scattered clouds,-3.3836,-57.7186,Hotel Miramar
218,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
219,Yei,SS,64.44,scattered clouds,4.095,30.6779,Twins Hotel Yei
220,Yamada,JP,70.52,light rain,39.4667,141.95,Iroha-ya Inn
221,Kristiinankaupunki,FI,62.37,overcast clouds,62.2743,21.376,Hotel Alma
222,Tura,IN,74.21,light rain,25.5198,90.2201,Hotel RIKMAN Continental
224,Kutum,SD,75.74,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
225,Caravelas,BR,70.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
226,Jacareacanga,BR,83.7,broken clouds,-6.2222,-57.7528,Casa do Ian😎
227,Nadvoitsy,RU,65.21,broken clouds,63.8667,34.3167,Sever Nadvoitsy
229,Huarmey,PE,63.9,few clouds,-10.0681,-78.1522,Hotel Miramar
230,Minab,IR,88.2,scattered clouds,27.1467,57.0801,Bam campground
231,Francavilla Fontana,IT,79.57,clear sky,40.5306,17.5852,Imperiali Hotel
232,Ghanzi,BW,53.96,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
234,Athabasca,CA,77.41,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
235,Bossangoa,CF,70.61,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
236,Kaoma,ZM,59.05,broken clouds,-14.7833,24.8,KAOMA AIRPORT
237,Waipawa,NZ,46.33,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
238,Tromso,NO,51.82,overcast clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
239,Esperance,AU,52.57,broken clouds,-33.8667,121.9,Hospitality Esperance
241,Aden,YE,81.77,broken clouds,12.7794,45.0367,Sama Emirate Hotel
242,Qaqortoq,GL,49.82,clear sky,60.7167,-46.0333,Siniffik Inn
243,Isangel,VU,79.68,clear sky,-19.55,169.2667,Tanna Lodge
244,Hithadhoo,MV,79.95,heavy intensity rain,-0.6,73.0833,Scoop Guest House
246,Tallahassee,US,88.86,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
247,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
248,Erdenet,MN,47.86,overcast clouds,49.0333,104.0833,Erdenet hotel
249,Shakhtinsk,KZ,62.94,scattered clouds,49.71,72.5872,Orifleym
250,Dongsheng,CN,57.43,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
253,Marsa Matruh,EG,75.67,clear sky,31.3525,27.2453,Beau Site
254,Tignere,CM,64.71,moderate rain,7.3667,12.65,SADECK
255,Kununurra,AU,62.58,clear sky,-15.7667,128.7333,Hotel Kununurra
256,Savelugu,GH,78.84,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
257,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
258,Talgar,KZ,64.56,clear sky,43.3027,77.2395,fazenda Umihalyicha
259,Hovd,MN,61.72,overcast clouds,48.0056,91.6419,Hotel Khovd
261,Krasnoselkup,RU,50.63,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
262,Tezu,IN,75.72,overcast clouds,27.9167,96.1667,Circuit House
263,Aranda De Duero,ES,75.72,clear sky,41.6704,-3.6892,Hotel Villa de Aranda
265,Xuddur,SO,70.97,broken clouds,4.1213,43.8894,Banjanay Hotel
266,Magdagachi,RU,66.13,overcast clouds,53.45,125.8,Motopolyana Magdagachi
267,Lamar,US,87.78,clear sky,33.6668,-95.5836,Kings Inn Paris TX
268,Sao Joao Da Barra,BR,70.16,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
269,Karratha,AU,68.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
270,Jerez,GT,86.45,few clouds,14.1,-89.75,Auto hotel Esmeralda
271,Valenca Do Piaui,BR,78.26,overcast clouds,-6.4075,-41.7456,GN Hotel
273,Ilulissat,GL,51.82,broken clouds,69.2167,-51.1,Hotel Arctic
274,Marawi,PH,71.28,overcast clouds,7.9986,124.2928,Derogongan Residence
275,Santa Vitoria Do Palmar,BR,51.87,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
276,Longyearbyen,SJ,49.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
277,Samarai,PG,81.16,few clouds,-10.6167,150.6667,Nuli Sapi
278,Maloy,NO,53.33,broken clouds,61.9353,5.1136,Torget Hotell
280,Paamiut,GL,46.83,clear sky,61.994,-49.6678,Pistut
